query_number,query_text,llm_summary,retrieved_doc_number,emotion,review_text,sentiment_label,sentiment_score
1,What are customers angry about?,"Rage-inducing false advertising and broken promises. Beyond angry, company refuses responsibility. Worst customer service experience ever encountered. Absolutely furious with purchase quality issues.",1,anger,Rage-inducing false advertising and broken promises.,negative,0.9051997065544128
1,What are customers angry about?,"Rage-inducing false advertising and broken promises. Beyond angry, company refuses responsibility. Worst customer service experience ever encountered. Absolutely furious with purchase quality issues.",2,anger,"Beyond angry, company refuses responsibility.",negative,0.9325083494186401
1,What are customers angry about?,"Rage-inducing false advertising and broken promises. Beyond angry, company refuses responsibility. Worst customer service experience ever encountered. Absolutely furious with purchase quality issues.",3,anger,Worst customer service experience ever encountered.,negative,0.9478220343589783
1,What are customers angry about?,"Rage-inducing false advertising and broken promises. Beyond angry, company refuses responsibility. Worst customer service experience ever encountered. Absolutely furious with purchase quality issues.",4,anger,Absolutely furious with purchase quality issues.,negative,0.9335008859634399
2,Tell me what the happy customers are saying,"Delighted by outstanding customer service experience! Happiest customer, will definitely buy again! Delighted by outstanding customer service experience!",1,happiness,Delighted by outstanding customer service experience!,positive,0.983820915222168
2,Tell me what the happy customers are saying,"Delighted by outstanding customer service experience! Happiest customer, will definitely buy again! Delighted by outstanding customer service experience!",2,happiness,"Happiest customer, will definitely buy again!",positive,0.987047553062439
2,Tell me what the happy customers are saying,"Delighted by outstanding customer service experience! Happiest customer, will definitely buy again! Delighted by outstanding customer service experience!",3,happiness,Delighted by outstanding customer service experience!,positive,0.983820915222168
2,Tell me what the happy customers are saying,"Delighted by outstanding customer service experience! Happiest customer, will definitely buy again! Delighted by outstanding customer service experience!",4,happiness,Delighted by outstanding customer service experience!,positive,0.983820915222168
3,Are there any surprised or shocked customers?,Customer reviews: Incredible surprise beyond initial expectations! Delighted by outstanding customer service experience! Genuinely shocked by superior quality levels!,1,surprise,Incredible surprise beyond initial expectations!,positive,0.9734105467796326
3,Are there any surprised or shocked customers?,Customer reviews: Incredible surprise beyond initial expectations! Delighted by outstanding customer service experience! Genuinely shocked by superior quality levels!,2,happiness,Delighted by outstanding customer service experience!,positive,0.983820915222168
3,Are there any surprised or shocked customers?,Customer reviews: Incredible surprise beyond initial expectations! Delighted by outstanding customer service experience! Genuinely shocked by superior quality levels!,3,surprise,Genuinely shocked by superior quality levels!,positive,0.4829711318016052
3,Are there any surprised or shocked customers?,Customer reviews: Incredible surprise beyond initial expectations! Delighted by outstanding customer service experience! Genuinely shocked by superior quality levels!,4,surprise,Incredible surprise beyond initial expectations!,positive,0.9734105467796326
